_id,negative_review
ObjectId("5e6e1829fe6ac8a1e6684fce"),لقد استخدمت هذه البطاريات في العديد من الأجهزة الآن ، ونفادها دائمًا من العصير أسرع بكثير من بطاريات AA العادية.
ObjectId("5e6e182dfe6ac8a1e6684fcf"),توقف الجهاز اللوحي عن العمل بعد امتلاكه لمدة أسبوعين. عاد بعد ساعة.
ObjectId("5e6e1831fe6ac8a1e6684fd0"),تم تسليم العبوة مع 40 بطارية فقط تفتقد 8 بطاريات على الرغم من أنها كانت مغلقة ومختومة تمامًا
ObjectId("5e6e1835fe6ac8a1e6684fd1"),حتى الآن عملوا بشكل جيد. لا أعرف كيفية مقارنتها بالجودة حتى الآن.
ObjectId("5e6e1839fe6ac8a1e6684fd2"),من السهل قراءة الكتب. رائع للقراءة الليلية. من السهل تحميل الكتب
ObjectId("5e6e183dfe6ac8a1e6684fd3"),شاشة أكبر من الهاتف. أفضل بصري ...........
ObjectId("5e6e1840fe6ac8a1e6684fd4"),يجب شراء دوراسيل
ObjectId("5e6e1844fe6ac8a1e6684fd5"),يعالج هذا الجهاز اللوحي الأساسيات بما في ذلك البريد الإلكتروني و Facebook وتصفح الويب و youtube. لا توجد مقارنة مع باد. ،
ObjectId("5e6e1848fe6ac8a1e6684fd6"),سيستغرق الأمر المزيد من العمل لجعلها تصل إلى السعة المفيدة ، ولكن لديها مكبر صوت جميل للموسيقى في المطبخ.
ObjectId("5e6e184cfe6ac8a1e6684fd7"),لم يعد يتحمل مسؤولية تصنيع الشاحن أو أي نوع آخر من الشاحن. لم يدم المنتج طويلاً منذ 7 أشهر.
ObjectId("5e6e1851fe6ac8a1e6684fd8"),بالنسبة للسعر لا يمكن التغلب عليه. بعد قولي هذا كان عليّ إعادة ملكي بعد أسبوع. لم أستطع الحصول على شاشة منخفضة الدقة. إنه يعمل بشكل جيد للأفلام والويب ، لكني احتاجته أيضًا لإظهار صوري للآخرين.
ObjectId("5e6e1854fe6ac8a1e6684fd9"),يعمل كما هو معلن. اشتريتها كهدية فلا تستخدمها كل يوم.
ObjectId("5e6e185dfe6ac8a1e6684fda"),إنها خطوة إلى حد ما من Roku 3 التي كنت أستخدمها سابقًا ، ولكن ليس بقدر ما كنت أتوقع. أعتقد أنه تحديثان للبرامج الثابتة بعيدًا عن كونهما أفضل مما هو عليه الآن ، قضيت الجزء الجيد من اليوم محاولًا معرفة لماذا يمكنني الاتصال بجهاز التوجيه مزدوج النطاق الخاص بي بسرعة 2.4 جيجا هرتز فقط وليس 5 جيجا هرتز. 1.5 ساعة على الهاتف مع الدعم الفني لـ Verizon FiOS باءت بالفشل مثل الأجهزة الأخرى المتصلة بسرعة 5 غيغاهرتز دون مشكلة. كنت على وشك حزمه وإعادته حتى اتصلت بدعم Amazon التقني. تبين أنها مشكلة معروفة أن FireTV يواجه صعوبة في شبكات 5GHz التي تم تعيينها على الاختيار التلقائي للقناة ويستخدمون أرقام القناة فوق 100 ، وقال مسؤول الدعم الفني أنه يجب علي تغيير القناة إلى 36 أو 44 أو 48 بدلاً من تلقائي لقد نجح الصوت والفيديو في البلوتوث مع Showtime و Netflix و Sling و Plex و Hulu. لا بأس من خلال مكبرات الصوت ، ولكن الفيديو يتخلف قليلاً عن الصوت باستخدام البلوتوث. الصوت والفيديو متزامنان تمامًا مع Bluetooth و Amazon Prime Video مما يجعلني أعتقد أنه سيتم إصلاحه في وقت ما ، كما يوضح موقع Amazon الذي يقدمه الفيديو أنه يمكن أن يعمل بشكل جيد في هذا الصدد ، يجب أن أقول إنني أفضل منصة المستخدم غير المعروفة من Roku ، مع تطبيق Amazon-world بعيدًا في التطبيق. يمثل جزء التنقل FireTV في الغالب منتجات Amazon دون خيار لتعديله. واجهة مستخدم Roku هي أكثر عن وسائل الإعلام ، أقل عن مقدم الخدمة. يعمل البحث الصوتي بشكل جيد إذا كنت تريد أن يتم تقديم خيارات العرض من أمازون فقط ، لسبب ما اعتقدت أن البحث عالمي ، ولكن فقط الأفلام والبرامج التلفزيونية المتاحة من خلال أمازون تظهر. Bummer :-( FireTV-2 على ما يرام ، أقل مما كنت أتوقع ومع خيارات جيدة أخرى قاب قوسين أو أدنى ، بدأت أشك في اختياري ...
ObjectId("5e6e1862fe6ac8a1e6684fdb"),كل شي تمام. أعني ، إنه ليس سريعًا أو سلسًا مثل Apple TV ، ولكنه أرخص. هذا هو بلدي الثاني. أول لبنة بعد 15 شهرًا من الاستخدام المطرد ، لذلك نظرًا لانتهاء صلاحية الضمان ، اشتريت واحدة جديدة. وصلت إلى المنزل وتوقف جهاز التحكم عن العمل في اليوم الثاني. لقد قضيت للتو أسبوعًا ذهابًا وإيابًا مع Amazon تحاول استكشاف أخطاء صندوق الإطفاء الخاص بي ، لذا لم أكن على وشك الخوض في المستنقع الذي هو خدمة عملاء Amazon. انتهى بي الأمر إلى تنزيل التطبيق البعيد بدلاً من ذلك. إذا كنت عضوًا رئيسيًا ، فهذا خيار جيد ، ولكن إذا لم تحصل على Apple TV أو roku فقط.
ObjectId("5e6e1867fe6ac8a1e6684fdc"),أنا أحب عرضي ، لكن لا يمكنني القول أنني أحبه ، نظرًا لكونه أغلى قطعة من مجموعتي من أجهزة أليكسا ، فمن المحتمل أن يحتوي على أسوأ ميكروفون. الحصول عليه للاستجابة أمر محبط في بعض الأحيان ، حيث لا أجد مشكلة مع صدى قياسي. إلى جانب هذا ، كل شيء يعمل كما هو معلن. سأنتظر الجيل الثاني ، أنا متأكد من أنهم قادرون على حل المشكلات.
ObjectId("5e6e186cfe6ac8a1e6684fdd"),اشترى هذا لطفلي الصغير لمشاهدة عروضه على netflix amazon و vudu. Vudu غير متوافق ، Netflix بطيء جدًا لدرجة أنه استمر في التخزين المؤقت ، لذلك انزعج. وفقًا لمواصفاتها ، فإن لديها نظام معالجة أسرع من قرص linsay الخاص بي بتأثيره الأقل خمس مرات على الأقل. يستغرق تنزيل أي شيء إلى الأبد. كان من الصعب جدًا التنقل فيه ، حيث تجاوز كل تبذير المال
ObjectId("5e6e186ffe6ac8a1e6684fde"),حسنا
ObjectId("5e6e1873fe6ac8a1e6684fdf"),بعتها على كريغزلست يوم شرائها ماذا يقول لك ذلك.
ObjectId("5e6e1877fe6ac8a1e6684fe0"),حسنًا بالنسبة للسعر بطيئًا بعض الشيء ولا يحتوي على العديد من التطبيقات مثل google play.
ObjectId("5e6e187bfe6ac8a1e6684fe1"),هذا الجدول مناسب بالنسبة لي. لكنها رائعة للأطفال
